          11  7.494126751717012E-006
          13  1.802677106477191E-007
          15  3.271003023996855E-009
          17  4.630384964343648E-011
          19  5.252465129501616E-013
          21  4.551914400963142E-015
          23  1.110223024625157E-016
          25  2.220446049250313E-016
          27  0.000000000000000E+000
          29  1.110223024625157E-016
          31  1.110223024625157E-016
          33  1.110223024625157E-016
          35  2.220446049250313E-016
          37  5.551115123125783E-016
          39  2.220446049250313E-016
          41  1.110223024625157E-016
          43  4.440892098500626E-016
          45  3.330669073875470E-016
          47  4.440892098500626E-016
          49  2.220446049250313E-016
          51  6.661338147750939E-016
          53  0.000000000000000E+000
          55  3.330669073875470E-016
          57  2.220446049250313E-016
          59  2.220446049250313E-016
          61  3.330669073875470E-016
          63  3.330669073875470E-016
          65  1.110223024625157E-016
          67  2.220446049250313E-016
          69  2.220446049250313E-016
          71  0.000000000000000E+000
          73  1.110223024625157E-016
          75  0.000000000000000E+000
          77  4.440892098500626E-016
          79  0.000000000000000E+000
          81  1.110223024625157E-016
          83  1.110223024625157E-016
          85  0.000000000000000E+000
          87  6.661338147750939E-016
          89  2.220446049250313E-016
          91  2.220446049250313E-016
          93  4.440892098500626E-016
          95  3.330669073875470E-016
          97  3.330669073875470E-016
          99  2.220446049250313E-016
         101  2.220446049250313E-016
